x,y,objet
125.561,14.4898,carre
126.684,14.4898,carre
127.806,13.3674,carre
128.929,13.3674,carre
127.806,14.4898,carre
128.929,14.4898,carre
130.051,13.3674,carre
131.174,13.3674,carre
132.296,13.3674,carre
130.051,14.4898,carre
131.174,14.4898,carre
132.296,14.4898,carre
133.418,13.3674,carre
134.541,13.3674,carre
133.418,14.4898,carre
134.541,14.4898,carre
135.663,13.3674,carre
136.786,13.3674,carre
135.663,14.4898,carre
136.786,14.4898,carre
137.908,13.3674,carre
139.031,13.3674,carre
137.908,14.4898,carre
139.031,14.4898,carre
140.153,13.3674,carre
141.276,13.3674,carre
142.398,13.3674,carre
140.153,14.4898,carre
141.276,14.4898,carre
142.398,14.4898,carre
143.521,13.3674,carre
144.643,13.3674,carre
143.521,14.4898,carre
144.643,14.4898,carre
145.766,13.3674,carre
146.888,13.3674,carre
145.766,14.4898,carre
146.888,14.4898,carre
148.01,13.3674,carre
149.133,13.3674,carre
148.01,14.4898,carre
149.133,14.4898,carre
150.255,13.3674,carre
151.378,13.3674,carre
150.255,14.4898,carre
151.378,14.4898,carre
152.5,13.3674,carre
153.623,13.3674,carre
154.745,13.3674,carre
152.5,14.4898,carre
153.623,14.4898,carre
154.745,14.4898,carre
155.868,13.3674,carre
156.99,13.3674,carre
155.868,14.4898,carre
156.99,14.4898,carre
158.113,13.3674,carre
159.235,13.3674,carre
158.113,14.4898,carre
159.235,14.4898,carre
160.358,13.3674,carre
161.48,13.3674,carre
160.358,14.4898,carre
161.48,14.4898,carre
162.602,13.3674,carre
163.725,13.3674,carre
164.847,13.3674,carre
162.602,14.4898,carre
163.725,14.4898,carre
164.847,14.4898,carre
165.97,13.3674,carre
167.092,13.3674,carre
165.97,14.4898,carre
167.092,14.4898,carre
168.215,13.3674,carre
169.337,13.3674,carre
168.215,14.4898,carre
169.337,14.4898,carre
170.46,13.3674,carre
171.582,13.3674,carre
170.46,14.4898,carre
171.582,14.4898,carre
172.705,13.3674,carre
173.827,13.3674,carre
174.95,13.3674,carre
172.705,14.4898,carre
173.827,14.4898,carre
174.95,14.4898,carre
176.072,13.3674,carre
177.194,13.3674,carre
176.072,14.4898,carre
177.194,14.4898,carre
178.317,13.3674,carre
179.439,13.3674,carre
178.317,14.4898,carre
179.439,14.4898,carre
180.562,13.3674,carre
181.684,13.3674,carre
180.562,14.4898,carre
181.684,14.4898,carre
182.807,13.3674,carre
183.929,13.3674,carre
182.807,14.4898,carre
183.929,14.4898,carre
185.052,13.3674,carre
186.174,13.3674,carre
187.297,13.3674,carre
185.052,14.4898,carre
186.174,14.4898,carre
187.297,14.4898,carre
188.419,13.3674,carre
189.542,13.3674,carre
188.419,14.4898,carre
189.542,14.4898,carre
190.664,13.3674,carre
191.786,13.3674,carre
190.664,14.4898,carre
191.786,14.4898,carre
192.909,13.3674,carre
194.031,13.3674,carre
192.909,14.4898,carre
194.031,14.4898,carre
195.154,13.3674,carre
196.276,13.3674,carre
197.399,13.3674,carre
195.154,14.4898,carre
196.276,14.4898,carre
197.399,14.4898,carre
198.521,13.3674,carre
199.644,13.3674,carre
198.521,14.4898,carre
199.644,14.4898,carre
200.766,13.3674,carre
201.889,13.3674,carre
200.766,14.4898,carre
201.889,14.4898,carre
203.011,13.3674,carre
204.134,13.3674,carre
203.011,14.4898,carre
204.134,14.4898,carre
205.256,13.3674,carre
206.378,13.3674,carre
205.256,14.4898,carre
206.378,14.4898,carre
207.501,13.3674,carre
208.623,13.3674,carre
209.746,13.3674,carre
207.501,14.4898,carre
208.623,14.4898,carre
209.746,14.4898,carre
210.868,13.3674,carre
211.991,13.3674,carre
210.868,14.4898,carre
211.991,14.4898,carre
213.113,13.3674,carre
214.236,13.3674,carre
213.113,14.4898,carre
214.236,14.4898,carre
35.7643,15.6123,carre
36.8867,15.6123,carre
35.7643,16.7348,carre
36.8867,16.7348,carre
38.0092,15.6123,carre
39.1317,15.6123,carre
38.0092,16.7348,carre
39.1317,16.7348,carre
40.2541,15.6123,carre
41.3766,15.6123,carre
42.499,15.6123,carre
40.2541,16.7348,carre
41.3766,16.7348,carre
42.499,16.7348,carre
43.6215,15.6123,carre
44.744,15.6123,carre
43.6215,16.7348,carre
44.744,16.7348,carre
45.8664,15.6123,carre
46.9889,15.6123,carre
45.8664,16.7348,carre
46.9889,16.7348,carre
48.1113,15.6123,carre
49.2338,15.6123,carre
48.1113,16.7348,carre
49.2338,16.7348,carre
50.3563,15.6123,carre
51.4787,15.6123,carre
50.3563,16.7348,carre
51.4787,16.7348,carre
52.6012,15.6123,carre
53.7237,15.6123,carre
54.8461,15.6123,carre
52.6012,16.7348,carre
53.7237,16.7348,carre
54.8461,16.7348,carre
55.9686,15.6123,carre
57.091,15.6123,carre
55.9686,16.7348,carre
57.091,16.7348,carre
58.2135,15.6123,carre
59.336,15.6123,carre
58.2135,16.7348,carre
59.336,16.7348,carre
60.4584,15.6123,carre
61.5809,15.6123,carre
60.4584,16.7348,carre
61.5809,16.7348,carre
62.7034,15.6123,carre
63.8258,15.6123,carre
64.9483,15.6123,carre
62.7034,16.7348,carre
63.8258,16.7348,carre
64.9483,16.7348,carre
66.0707,15.6123,carre
67.1932,15.6123,carre
66.0707,16.7348,carre
67.1932,16.7348,carre
68.3157,15.6123,carre
69.4381,15.6123,carre
68.3157,16.7348,carre
69.4381,16.7348,carre
70.5606,15.6123,carre
71.6831,15.6123,carre
70.5606,16.7348,carre
71.6831,16.7348,carre
72.8055,15.6123,carre
73.928,15.6123,carre
72.8055,16.7348,carre
73.928,16.7348,carre
75.0504,15.6123,carre
76.1729,15.6123,carre
77.2954,15.6123,carre
75.0504,16.7348,carre
76.1729,16.7348,carre
77.2954,16.7348,carre
78.4178,15.6123,carre
79.5403,15.6123,carre
78.4178,16.7348,carre
79.5403,16.7348,carre
80.6627,15.6123,carre
81.7852,15.6123,carre
80.6627,16.7348,carre
81.7852,16.7348,carre
82.9077,15.6123,carre
84.0301,15.6123,carre
82.9077,16.7348,carre
84.0301,16.7348,carre
85.1526,15.6123,carre
86.2751,15.6123,carre
