x,y,objet
52.6009,13.3671,carre
53.7237,13.3674,carre
54.8464,13.3671,carre
52.6012,14.4898,carre
53.7237,14.4898,carre
54.8461,14.4898,carre
55.9683,13.3671,carre
57.0913,13.3671,carre
55.9683,14.4901,carre
57.091,14.4898,carre
58.2133,13.3671,carre
59.3362,13.3671,carre
58.2133,14.4901,carre
59.3362,14.4901,carre
60.4582,13.3671,carre
61.5811,13.3671,carre
60.4585,14.4898,carre
61.5811,14.4901,carre
62.7031,13.3671,carre
63.8258,13.3674,carre
64.9483,13.3674,carre
62.7034,14.4898,carre
63.8258,14.4898,carre
64.9483,14.4898,carre
66.0705,13.3671,carre
67.1934,13.3671,carre
66.0705,14.4901,carre
67.1932,14.4898,carre
68.3154,13.3671,carre
69.4384,13.3671,carre
68.3154,14.4901,carre
69.4384,14.4901,carre
70.5603,13.3671,carre
71.6833,13.3671,carre
70.5603,14.4901,carre
71.6833,14.4901,carre
72.8053,13.3671,carre
73.9282,13.3671,carre
72.8056,14.4898,carre
73.9282,14.4901,carre
75.0504,13.3674,carre
76.1729,13.3674,carre
77.2956,13.3671,carre
75.0504,14.4898,carre
76.1729,14.4898,carre
77.2954,14.4898,carre
78.4176,13.3671,carre
79.5405,13.3671,carre
78.4176,14.4901,carre
79.5402,14.4898,carre
80.6625,13.3671,carre
81.7855,13.3671,carre
80.6625,14.4901,carre
81.7855,14.4901,carre
82.9074,13.3671,carre
84.0304,13.3671,carre
82.9077,14.4898,carre
84.0304,14.4901,carre
85.1523,13.3671,carre
86.2751,13.3674,carre
87.3978,13.3671,carre
85.1526,14.4898,carre
86.2751,14.4898,carre
87.3975,14.4898,carre
88.5197,13.3671,carre
89.6427,13.3671,carre
88.5197,14.4901,carre
89.6424,14.4898,carre
90.7647,13.3671,carre
91.8876,13.3671,carre
90.7647,14.4901,carre
91.8876,14.4901,carre
93.0096,13.3671,carre
94.1325,13.3671,carre
93.0099,14.4898,carre
94.1325,14.4901,carre
95.2545,13.3671,carre
96.3772,13.3674,carre
97.4997,13.3674,carre
95.2548,14.4898,carre
96.3772,14.4898,carre
97.4997,14.4898,carre
98.6219,13.3671,carre
99.7448,13.3671,carre
98.6219,14.4901,carre
99.7446,14.4898,carre
100.867,13.3671,carre
101.99,13.3671,carre
100.867,14.4901,carre
101.989,14.4898,carre
103.112,13.3671,carre
104.235,13.3671,carre
103.112,14.4901,carre
104.235,14.4901,carre
105.357,13.3671,carre
106.48,13.3671,carre
105.357,14.4898,carre
106.48,14.4901,carre
107.602,13.3671,carre
108.724,13.3674,carre
109.847,13.3671,carre
107.602,14.4898,carre
108.724,14.4898,carre
109.847,14.4898,carre
110.969,13.3671,carre
112.092,13.3671,carre
110.969,14.4901,carre
112.092,14.4898,carre
113.214,13.3671,carre
114.337,13.3671,carre
113.214,14.4901,carre
114.337,14.4901,carre
115.459,13.3671,carre
116.582,13.3671,carre
115.459,14.4898,carre
116.582,14.4901,carre
117.704,13.3671,carre
118.826,13.3674,carre
119.949,13.3674,carre
117.704,14.4898,carre
118.826,14.4898,carre
119.949,14.4898,carre
121.071,13.3671,carre
122.194,13.3671,carre
121.071,14.4901,carre
122.194,14.4898,carre
123.316,13.3671,carre
124.439,13.3671,carre
123.316,14.4901,carre
124.439,14.4901,carre
125.561,13.3671,carre
126.684,13.3671,carre
125.561,14.4901,carre
126.684,14.4901,carre
127.806,13.3671,carre
128.929,13.3671,carre
127.806,14.4898,carre
128.929,14.4901,carre
130.051,13.3674,carre
131.174,13.3674,carre
132.296,13.3671,carre
130.051,14.4898,carre
131.174,14.4898,carre
132.296,14.4898,carre
133.418,13.3671,carre
134.541,13.3671,carre
133.418,14.4901,carre
134.541,14.4898,carre
135.663,13.3671,carre
136.786,13.3671,carre
135.663,14.4901,carre
136.786,14.4901,carre
137.908,13.3671,carre
139.031,13.3671,carre
137.908,14.4898,carre
139.031,14.4901,carre
140.153,13.3671,carre
141.276,13.3674,carre
142.398,13.3671,carre
140.153,14.4898,carre
141.276,14.4898,carre
142.398,14.4898,carre
143.52,13.3671,carre
144.643,13.3671,carre
143.52,14.4901,carre
144.643,14.4898,carre
145.765,13.3671,carre
146.888,13.3671,carre
145.765,14.4901,carre
146.888,14.4901,carre
148.01,13.3671,carre
149.133,13.3671,carre
148.011,14.4898,carre
